Dpto;Municipio;desagregacionCultivo;Cultivo;cicloDelCultivo;grupoCultivo;Subgrupo;Anio;Periodo;areaSembradaHa;areaCosechadaHa;produccionTon;rendimientoTonHa;nombreCientificoCultivo;estadoFisicoCultivo
Boyacá;Arcabuco;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2019;B;2.0;2.0;50.0;25.0;Daucus carota;En fresco
Boyacá;Arcabuco;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;1250.0;1250.0;25000.0;20.0;Solanum tuberosum;En fresco
Boyacá;Belén;Ciruela;Ciruela;Permanente;Frutales;Caducifolios;2019;C;2.0;2.0;8.4;4.2;Prunus domestica L.;En fresco
Boyacá;Belén;Curuba;Curuba;Permanente;Frutales;Pasifloráceas;2019;C;2.0;2.0;8.0;4.0;Passiflora mollissima;En fresco
Boyacá;Belén;Durazno o Albaricoque;Durazno o Albaricoque;Permanente;Frutales;Caducifolios;2019;C;4.0;2.0;18.0;9.0;Prunus persica L.;En fresco
Boyacá;Belén;Feijoa;Feijoa;Permanente;Frutales;Mirtáceas;2019;C;2.0;2.0;28.0;14.0;Feijoa sellowiana berg.;En fresco
Boyacá;Belén;Mora;Mora;Permanente;Frutales;Demas frutales;2019;C;3.0;3.0;6.0;2.0;Morus ssp;En fresco
Boyacá;Belén;Tomate de árbol;Tomate de árbol;Permanente;Frutales;Solanáceas;2019;C;4.0;4.0;19.0;4.75;Solanum betaceum;En fresco
Boyacá;Belén;Uchuva;Uchuva;Permanente;Frutales;Solanáceas;2019;C;6.0;5.0;13.0;2.6;Physalis peruviana L.;En fresco
Boyacá;Belén;Avena;Avena;Transitorio;Cereales;Cereales;2019;A;20.0;16.0;31.0;1.94;Avena sativa;En fresco
Boyacá;Belén;Cebada;Cebada;Transitorio;Cereales;Cereales;2019;A;2.0;2.0;4.0;2.0;Hordeum vulgare;En fresco
Boyacá;Belén;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;14.0;12.0;13.42;1.12;Zea mays;En fresco
Boyacá;Belén;Ajo;Ajo;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;3.0;3.0;39.0;13.0;Allium sativum;En fresco
Boyacá;Belén;Cebolla De Bulbo;Cebolla De Bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;3.0;3.0;60.0;20.0;Allium cepa;En fresco
Boyacá;Belén;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;24.0;24.0;720.0;30.0;Daucus carota;En fresco
Boyacá;Belén;Otras hortalizas;Otras hortalizas;Transitorio;Hortalizas;Hortalizas;2019;A;4.0;4.0;108.0;27.0;No aplica;En fresco
Boyacá;Belén;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;350.0;240.0;3840.0;16.0;Solanum tuberosum;En fresco
Boyacá;Belén;Papa Criolla;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;30.0;27.0;378.0;14.0;Solanum tuberosum;En fresco
Boyacá;Belén;Avena;Avena;Transitorio;Cereales;Cereales;2019;B;19.0;18.0;25.2;1.4;Avena sativa;En fresco
Boyacá;Belén;Ajo;Ajo;Transitorio;Hortalizas;Hortalizas de raíz;2019;B;3.0;3.0;39.0;13.0;Allium sativum;En fresco
Boyacá;Belén;Cebolla De Bulbo;Cebolla De Bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2019;B;5.0;4.0;60.0;15.0;Allium cepa;En fresco
