codDaneDpto;Dpto;codDaneMunicipio;Municipio;desagregacionCultivo;Cultivo;cicloDelCultivo;grupoCultivo;Subgrupo;Anio;Periodo;areaSembradaHa;areaCosechadaHa;produccionTon;rendimientoTonHa;codCultivo;nombreCientificoCultivo;estadoFisicoCultivo
15;Boyacá;15097;Boavita;Trigo;Trigo;Transitorio;Cereales;Cereales;2019;B;20;20;20;1;1010800;Triticum aestivum;En fresco
15;Boyacá;15097;Boavita;Tabaco;Tabaco;Transitorio;Cultivos Tropicales Tradicionales;Cultivos Tropicales Tradicionales;2019;B;0;0;0;0;1030700;Nicotiana tabacum;En fresco
15;Boyacá;15097;Boavita;Tomate;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;B;15;14;420;30;1052901;Lycopersicon esculentum;En fresco
15;Boyacá;15097;Boavita;Tomate Invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;B;33;3;180;60;1052902;Lycopersicon esculentum;En fresco
15;Boyacá;15097;Boavita;Yuca consumo en fresco;Yuca;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;50;50;250;5;1081001;Manihot esculenta;En fresco
15;Boyacá;15104;Boyacá;Mora;Mora;Permanente;Frutales;Demas frutales;2019;C;15;15;120;8;2044700;Morus ssp;En fresco
15;Boyacá;15104;Boyacá;Tomate de árbol;Tomate de árbol;Permanente;Frutales;Solanáceas;2019;C;15;15;481;32,07;2046300;Solanum betaceum;En fresco
15;Boyacá;15104;Boyacá;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;11;11;13,2;1,2;1010497;Zea mays;En fresco
15;Boyacá;15104;Boyacá;Cebolla De Bulbo;Cebolla De Bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;3;3;9;3;1051100;Allium cepa;En fresco
15;Boyacá;15104;Boyacá;Pepino Guiso;Pepino Guiso;Transitorio;Hortalizas;Hortalizas de Futo;2019;A;3;3;15;5;1052400;Cyclanthera pedata;En fresco
15;Boyacá;15104;Boyacá;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;76;76;2128;28;1053000;Daucus carota;En fresco
15;Boyacá;15104;Boyacá;Arracacha;Arracacha;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;124;124;992;8;1080200;Arracacia xanthorrhiza;En fresco
15;Boyacá;15104;Boyacá;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;240;240;4800;20;1080701;Solanum tuberosum;En fresco
15;Boyacá;15104;Boyacá;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;B;11;11;12,87;1,17;1010497;Zea mays;En fresco
15;Boyacá;15104;Boyacá;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2019;B;180;180;5400;30;1053000;Daucus carota;En fresco
15;Boyacá;15104;Boyacá;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;140;140;3640;26;1080701;Solanum tuberosum;En fresco
15;Boyacá;15106;Briceño;Aguacate demás variedades;Aguacate;Permanente;Frutales;Demas frutales;2019;C;25;17;165;9,71;2040299;Persea americana;En fresco
15;Boyacá;15106;Briceño;Banano consumo interno;Banano;Permanente;Frutales;Demas frutales;2019;C;0;0;0;0;2040902;Musa cavendishii;En fresco
15;Boyacá;15106;Briceño;Guanábana;Guanábana;Permanente;Frutales;Anonáceas;2019;C;85;45;880;19,56;2042900;Annona muricata L.;En fresco
15;Boyacá;15106;Briceño;Guayaba;Guayaba;Permanente;Frutales;Mirtáceas;2019;C;292;180;1350;7,5;2043000;Psidium guajava L.;En fresco
15;Boyacá;15106;Briceño;Lulo;Lulo;Permanente;Frutales;Solanáceas;2019;C;50;9;72;8;2043700;Solanum quitoense Lam;En fresco
15;Boyacá;15106;Briceño;Mora;Mora;Permanente;Frutales;Demas frutales;2019;C;42;30;300;10;2044700;Morus ssp;En fresco
15;Boyacá;15106;Briceño;Naranja demás variedades;Naranja;Permanente;Frutales;Cítricos;2019;C;45;43;570;13,26;2044999;Citrus sinensis L. OSBECK;En fresco
15;Boyacá;15106;Briceño;Pitahaya;Pitahaya;Permanente;Frutales;Demas frutales;2019;C;4;1;4;4;2045700;Hylocereus triangularis;En fresco
15;Boyacá;15106;Briceño;Plátano consumo interno;Plátano;Permanente;Frutales;Demas frutales;2019;C;40;20;28;1,4;2045802;Musa paradisiaca L.;En fresco
15;Boyacá;15106;Briceño;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;13;10;5;0,5;1010497;Zea mays;En fresco
15;Boyacá;15106;Briceño;Yuca consumo en fresco;Yuca;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;12;5;40;8;1081001;Manihot esculenta;En fresco
15;Boyacá;15106;Briceño;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;B;25;20;10;0,5;1010497;Zea mays;En fresco
15;Boyacá;15109;Buenavista;Aguacate demás variedades;Aguacate;Permanente;Frutales;Demas frutales;2019;C;72;62;558;9;2040299;Persea americana;En fresco
15;Boyacá;15109;Buenavista;Guanábana;Guanábana;Permanente;Frutales;Anonáceas;2019;C;16;15;210;14;2042900;Annona muricata L.;En fresco
15;Boyacá;15109;Buenavista;Gulupa o cholupa;Gulupa o cholupa;Permanente;Frutales;Pasifloráceas;2019;C;21;11;198;18;2043100;Passiflora edulis Sims fo. Edulis;En fresco
15;Boyacá;15109;Buenavista;Limón  Tahití;Limón;Permanente;Frutales;Cítricos;2019;C;12;0;0;0;2043603;Citrus limon L.;En fresco
15;Boyacá;15109;Buenavista;Mandarina demás variedades;Mandarina;Permanente;Frutales;Cítricos;2019;C;73;73;1095;15;2044199;Citrus reticulata;En fresco
15;Boyacá;15109;Buenavista;Mora;Mora;Permanente;Frutales;Demas frutales;2019;C;10;10;80;8;2044700;Morus ssp;En fresco
15;Boyacá;15109;Buenavista;Naranja demás variedades;Naranja;Permanente;Frutales;Cítricos;2019;C;100;100;1800;18;2044999;Citrus sinensis L. OSBECK;En fresco
15;Boyacá;15109;Buenavista;Tomate de árbol;Tomate de árbol;Permanente;Frutales;Solanáceas;2019;C;85;73;1241;17;2046300;Solanum betaceum;En fresco
15;Boyacá;15109;Buenavista;Tomate Invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;A;7;7;490;70;1052902;Lycopersicon esculentum;En fresco
15;Boyacá;15109;Buenavista;Habichuela;Habichuela;Transitorio;Leguminosas;Leguminosas;2019;A;10;10;80;8;1060600;Phaseolus vulgaris;En fresco
15;Boyacá;15109;Buenavista;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;12;12;252;21;1080701;Solanum tuberosum;En fresco
15;Boyacá;15109;Buenavista;Tomate Invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;B;15;14;980;70;1052902;Lycopersicon esculentum;En fresco
15;Boyacá;15109;Buenavista;Habichuela;Habichuela;Transitorio;Leguminosas;Leguminosas;2019;B;5;5;45;9;1060600;Phaseolus vulgaris;En fresco
15;Boyacá;15109;Buenavista;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;12;12;252;21;1080701;Solanum tuberosum;En fresco
15;Boyacá;15114;Busbanzá;Durazno o Albaricoque;Durazno o Albaricoque;Permanente;Frutales;Caducifolios;2019;C;1;0;0;0;2042400;Prunus persica L.;En fresco
15;Boyacá;15114;Busbanzá;Feijoa;Feijoa;Permanente;Frutales;Mirtáceas;2019;C;1;0;0;0;2042500;Feijoa sellowiana berg.;En fresco
15;Boyacá;15114;Busbanzá;Higo;Higo;Permanente;Frutales;Demas frutales;2019;C;0,3;0;0;0;2043200;Opuntia ficus-indica;En fresco
15;Boyacá;15114;Busbanzá;Cebada;Cebada;Transitorio;Cereales;Cereales;2019;A;1;1;1;1;1010300;Hordeum vulgare;En fresco
15;Boyacá;15114;Busbanzá;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;35;35;28;0,8;1010497;Zea mays;En fresco
15;Boyacá;15114;Busbanzá;Trigo;Trigo;Transitorio;Cereales;Cereales;2019;A;3;3;3;1;1010800;Triticum aestivum;En fresco
