Cultivo;grupoCultivo;areaSembradaHa;produccionTon;rendimientoTonHa;grupoCultivoOrd;EstadoFinalOrd;PeriodoOrd;CicloOrd;CultivoFre
Frijol;Leguminosas;55.0;269.23;4.9;3;1;1;0;1090
Cacao;Cultivos Tropicales Tradicionales;16.0;9.6;0.8;6;1;2;1;217
Palma de aceite;Oleaginosas;116.0;288.0;3.0;8;7;2;1;12
Maíz;Cereales;39.0;35.0;1.0;5;1;0;0;1624
Maíz;Cereales;14.0;10.0;1.0;5;1;0;0;1624
Maíz;Cereales;19.0;16.0;1.0;5;1;1;0;1624
Maíz;Cereales;19.0;13.0;1.0;5;1;1;0;1624
Cacao;Cultivos Tropicales Tradicionales;43.0;25.16;0.68;6;1;2;1;217
Café;Cultivos Tropicales Tradicionales;632.88;616.32;1.08;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;171.0;7800.0;50.0;6;4;2;1;463
Maíz;Cereales;26.0;56.0;2.33;5;1;0;0;1624
Frijol;Leguminosas;7.0;14.0;2.0;3;1;0;0;1090
Maíz;Cereales;38.0;79.0;2.14;5;1;1;0;1624
Frijol;Leguminosas;13.0;30.0;2.31;3;1;1;0;1090
Cacao;Cultivos Tropicales Tradicionales;4.0;3.0;0.75;6;1;2;1;217
Café;Cultivos Tropicales Tradicionales;67.58;65.21;1.06;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;3127.0;149424.0;48.0;6;4;2;1;463
Maíz;Cereales;21.0;33.0;1.57;5;1;0;0;1624
Maíz;Cereales;9.0;15.0;1.67;5;1;0;0;1624
Frijol;Leguminosas;19.0;48.0;2.53;3;1;0;0;1090
Maíz;Cereales;17.0;28.0;1.65;5;1;1;0;1624
Maíz;Cereales;16.0;25.0;1.56;5;1;1;0;1624
Frijol;Leguminosas;22.0;57.0;2.59;3;1;1;0;1090
Café;Cultivos Tropicales Tradicionales;119.28;90.95;0.91;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;95.0;2844.0;31.6;6;4;2;1;463
Maíz;Cereales;11.0;12.58;1.26;5;1;0;0;1624
Maíz;Cereales;3.0;1.96;0.98;5;1;0;0;1624
Arveja;Leguminosas;36.0;49.07;1.4;3;2;0;0;1173
Frijol;Leguminosas;90.0;409.09;4.55;3;1;0;0;1090
Maíz;Cereales;8.0;5.87;0.84;5;1;1;0;1624
Maíz;Cereales;7.0;5.03;0.84;5;1;1;0;1624
Arveja;Leguminosas;34.0;70.09;2.12;3;2;1;0;1173
Frijol;Leguminosas;53.0;258.74;4.88;3;1;1;0;1090
Cacao;Cultivos Tropicales Tradicionales;58.0;15.0;0.5;6;1;2;1;217
Café;Cultivos Tropicales Tradicionales;1078.65;977.76;1.04;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;2118.0;59940.0;30.0;6;4;2;1;463
Maíz;Cereales;225.0;276.86;1.26;5;1;0;0;1624
Maíz;Cereales;100.0;113.26;1.26;5;1;0;0;1624
Arveja;Leguminosas;15.0;10.0;1.0;3;2;0;0;1173
Frijol;Leguminosas;12.0;14.0;1.56;3;1;0;0;1090
Maíz;Cereales;220.0;270.43;1.26;5;1;1;0;1624
Maíz;Cereales;180.0;220.09;1.26;5;1;1;0;1624
Arveja;Leguminosas;100.0;90.0;1.0;3;2;1;0;1173
Frijol;Leguminosas;20.0;27.0;1.5;3;1;1;0;1090
Café;Cultivos Tropicales Tradicionales;32.79;23.9;0.91;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;97.0;4459.0;49.0;6;4;2;1;463
Maíz;Cereales;9.0;8.11;1.01;5;1;0;0;1624
Maíz;Cereales;4.0;2.52;0.84;5;1;0;0;1624
Maíz;Cereales;6.0;6.71;1.12;5;1;1;0;1624
Maíz;Cereales;4.0;4.47;1.12;5;1;1;0;1624
Maíz;Cereales;2.0;6.0;3.0;5;1;0;0;1624
Maíz;Cereales;1.0;3.0;3.0;5;1;0;0;1624
Frijol;Leguminosas;28.0;28.0;1.0;3;1;0;0;1090
Frijol;Leguminosas;10.0;16.0;1.6;3;1;1;0;1090
Café;Cultivos Tropicales Tradicionales;394.59;325.11;0.91;6;3;2;1;474
