Cultivo;grupoCultivo;areaSembradaHa;produccionTon;rendimientoTonHa;grupoCultivoOrd;EstadoFinalOrd;PeriodoOrd;CicloOrd;CultivoFre
Gulupa o cholupa;Frutales;2.0;0.0;0.0;1;0;2;1;133
Lulo;Frutales;8.0;84.0;21.0;1;0;2;1;223
Mora;Frutales;54.0;500.0;19.23;1;0;2;1;339
Tomate de árbol;Frutales;92.0;1400.0;16.09;1;0;2;1;324
Uchuva;Frutales;85.0;720.0;11.08;1;0;2;1;192
Maíz;Cereales;60.0;18.46;0.34;5;0;0;0;1624
Ahuyama;Hortalizas;15.0;252.0;18.0;2;0;0;0;224
Calabacín, Calabaza;Hortalizas;50.0;1080.0;23.48;2;0;0;0;110
Cilantro;Hortalizas;38.0;270.0;9.0;2;0;0;0;129
Pepino Guiso;Hortalizas;28.0;312.0;12.0;2;0;0;0;137
Arracacha;Raíces y Tubérculos;97.0;1140.0;12.0;4;0;0;0;326
Papa;Raíces y Tubérculos;240.0;3780.0;18.0;4;0;0;0;1585
Papa;Raíces y Tubérculos;18.0;96.0;8.0;4;0;0;0;1585
Maíz;Cereales;10.0;12.0;1.2;5;0;1;0;1624
Pepino Guiso;Hortalizas;20.0;240.0;12.0;2;0;1;0;137
Papa;Raíces y Tubérculos;200.0;3400.0;17.0;4;0;1;0;1585
Papa;Raíces y Tubérculos;15.0;165.0;11.0;4;0;1;0;1585
Agraz - Mortiño;Frutales;291.0;537.0;2.07;1;0;2;1;32
Curuba;Frutales;2.0;6.0;3.0;1;0;2;1;90
Durazno o Albaricoque;Frutales;24.0;36.0;4.0;1;0;2;1;216
Feijoa;Frutales;4.0;8.0;2.0;1;0;2;1;117
Guayaba;Frutales;9.0;28.0;3.11;1;0;2;1;80
Gulupa o cholupa;Frutales;4.0;8.0;2.0;1;0;2;1;133
Lulo;Frutales;12.0;37.0;3.08;1;0;2;1;223
Mora;Frutales;7.0;37.0;5.29;1;0;2;1;339
Tomate de árbol;Frutales;10.0;62.0;6.2;1;0;2;1;324
Uchuva;Frutales;4.0;4.0;2.0;1;0;2;1;192
Maíz;Cereales;48.0;46.0;0.96;5;0;0;0;1624
Cebolla De Bulbo;Hortalizas;79.0;1442.0;18.25;2;0;0;0;541
Pepino Cohombro;Hortalizas;4.0;43.0;10.75;2;0;0;0;76
Pimentón;Hortalizas;7.0;35.0;5.0;2;0;0;0;127
Tomate;Hortalizas;31.0;924.0;29.81;2;0;0;0;850
Zanahoria;Hortalizas;10.0;42.0;4.2;2;0;0;0;394
Habichuela;Leguminosas;11.0;56.0;5.09;3;0;0;0;284
Papa;Raíces y Tubérculos;278.0;3525.0;12.68;4;0;0;0;1585
Maíz;Cereales;46.0;62.0;1.35;5;0;1;0;1624
Cebolla De Bulbo;Hortalizas;81.0;1949.0;24.06;2;0;1;0;541
Pepino Guiso;Hortalizas;4.0;43.0;10.75;2;0;1;0;137
Pimentón;Hortalizas;7.0;33.0;4.71;2;0;1;0;127
Tomate;Hortalizas;31.0;930.0;30.0;2;0;1;0;850
Zanahoria;Hortalizas;10.0;42.0;4.2;2;0;1;0;394
Habichuela;Leguminosas;11.0;56.0;5.09;3;0;1;0;284
Papa;Raíces y Tubérculos;272.0;3514.0;12.92;4;0;1;0;1585
Sábila;Condimentos Bebidas y Aromáticas;1.0;1.0;1.0;7;0;2;1;54
Aguacate;Frutales;1.0;3.0;3.0;1;0;2;1;456
Banano;Frutales;3.0;3.0;3.0;1;0;2;1;134
Granadilla;Frutales;4.0;60.0;15.0;1;0;2;1;131
Gulupa o cholupa;Frutales;8.0;168.0;21.0;1;0;2;1;133
Limón;Frutales;2.0;0.0;0.0;1;0;2;1;295
Lulo;Frutales;40.0;400.0;10.0;1;0;2;1;223
Mora;Frutales;22.0;127.0;5.77;1;0;2;1;339
Piña;Frutales;1.0;0.0;0.0;1;0;2;1;30
Pitahaya;Frutales;1.0;0.0;0.0;1;0;2;1;55
Plátano;Frutales;60.0;80.0;4.0;1;0;2;1;392
Tomate de árbol;Frutales;9.0;153.0;17.0;1;0;2;1;324
Uchuva;Frutales;1.0;1.0;1.0;1;0;2;1;192
Otros cítricos;Frutales;1.0;0.0;0.0;1;0;2;1;58
Maíz;Cereales;20.0;24.0;1.2;5;0;0;0;1624
Tomate;Hortalizas;6.0;240.0;40.0;2;0;0;0;850
Arracacha;Raíces y Tubérculos;1.0;6.0;6.0;4;0;0;0;326
Papa;Raíces y Tubérculos;10.0;150.0;15.0;4;0;0;0;1585
Papa;Raíces y Tubérculos;1.0;12.0;12.0;4;0;0;0;1585
Yuca;Raíces y Tubérculos;8.0;48.0;6.0;4;0;0;0;602
Maíz;Cereales;8.0;8.0;1.0;5;0;1;0;1624
Tomate;Hortalizas;6.0;246.0;41.0;2;0;1;0;850
Papa;Raíces y Tubérculos;5.0;75.0;15.0;4;0;1;0;1585
Yuca;Raíces y Tubérculos;3.0;20.4;6.8;4;0;1;0;602
Curuba;Frutales;9.0;126.0;14.0;1;0;2;1;90
Mora;Frutales;333.0;8325.0;25.0;1;0;2;1;339
Tomate de árbol;Frutales;131.0;2160.0;18.0;1;0;2;1;324
Maíz;Cereales;150.0;378.0;2.8;5;0;0;0;1624
Lechuga;Hortalizas;60.0;928.0;16.0;2;0;0;0;197
Papa;Raíces y Tubérculos;2400.0;47000.0;20.0;4;0;0;0;1585
Papa;Raíces y Tubérculos;700.0;12600.0;20.0;4;0;0;0;1585
Lechuga;Hortalizas;55.0;848.0;16.0;2;0;1;0;197
Papa;Raíces y Tubérculos;2500.0;49000.0;20.0;4;0;1;0;1585
Papa;Raíces y Tubérculos;750.0;13140.0;18.0;4;0;1;0;1585
Cebolla De Bulbo;Hortalizas;90.0;1680.0;20.0;2;0;0;0;541
Tomate;Hortalizas;85.0;7650.0;90.0;2;0;0;0;850
Cebolla De Bulbo;Hortalizas;80.0;1440.0;20.0;2;0;1;0;541
Tomate;Hortalizas;50.0;4400.0;88.0;2;0;1;0;850
Durazno o Albaricoque;Frutales;2.0;0.0;0.0;1;0;2;1;216
Fresa;Frutales;2.0;0.0;0.0;1;0;2;1;223
Granadilla;Frutales;1.0;0.0;0.0;1;0;2;1;131
Cebada;Cereales;10.0;30.0;3.0;5;0;0;0;186
Maíz;Cereales;114.0;127.2;1.2;5;0;0;0;1624
Cebolla De Bulbo;Hortalizas;320.0;7040.0;22.0;2;0;0;0;541
Lechuga;Hortalizas;15.0;42.0;3.0;2;0;0;0;197
Remolacha;Hortalizas;54.0;901.0;17.0;2;0;0;0;61
Tomate;Hortalizas;3.0;108.0;36.0;2;0;0;0;850
Zanahoria;Hortalizas;120.0;2160.0;18.0;2;0;0;0;394
Otras hortalizas;Hortalizas;3.0;18.0;6.0;2;0;0;0;288
Papa;Raíces y Tubérculos;700.0;26600.0;38.0;4;0;0;0;1585
Maíz;Cereales;230.0;294.0;1.4;5;0;1;0;1624
Cebolla De Bulbo;Hortalizas;280.0;6440.0;23.0;2;0;1;0;541
Lechuga;Hortalizas;30.0;60.0;2.0;2;0;1;0;197
Remolacha;Hortalizas;30.0;300.0;10.0;2;0;1;0;61
Tomate;Hortalizas;8.0;160.0;20.0;2;0;1;0;850
Zanahoria;Hortalizas;120.0;3600.0;30.0;2;0;1;0;394
Papa;Raíces y Tubérculos;1050.0;30450.0;29.0;4;0;1;0;1585
Granadilla;Frutales;9.0;72.0;12.0;1;0;2;1;131
Guanábana;Frutales;3.0;6.0;3.0;1;0;2;1;114
Gulupa o cholupa;Frutales;4.0;20.0;5.0;1;0;2;1;133
Lulo;Frutales;28.0;390.0;15.0;1;0;2;1;223
Mora;Frutales;2.0;16.0;8.0;1;0;2;1;339
Pitahaya;Frutales;12.0;40.0;5.0;1;0;2;1;55
Tomate de árbol;Frutales;22.0;567.0;27.0;1;0;2;1;324
Maíz;Cereales;6.0;6.0;1.0;5;0;0;0;1624
Maíz;Cereales;8.0;16.0;2.0;5;0;0;0;1624
Tomate;Hortalizas;2.0;120.0;60.0;2;0;0;0;850
Arracacha;Raíces y Tubérculos;5.0;25.0;5.0;4;0;0;0;326
Malanga, Achín, Yota, Papa China, Bore;Raíces y Tubérculos;5.0;40.0;8.0;4;0;0;0;29
Yuca;Raíces y Tubérculos;15.0;180.0;12.0;4;0;0;0;602
Maíz;Cereales;6.0;1.85;0.31;5;0;1;0;1624
Maíz;Cereales;5.0;2.52;0.5;5;0;1;0;1624
Tomate;Hortalizas;2.0;144.0;72.0;2;0;1;0;850
Arracacha;Raíces y Tubérculos;3.0;15.0;5.0;4;0;1;0;326
Malanga, Achín, Yota, Papa China, Bore;Raíces y Tubérculos;3.0;24.0;8.0;4;0;1;0;29
Yuca;Raíces y Tubérculos;2.0;24.0;12.0;4;0;1;0;602
Aguacate;Frutales;0.5;0.0;0.0;1;0;2;1;456
Feijoa;Frutales;1.0;7.0;7.0;1;0;2;1;117
Guanábana;Frutales;0.5;0.75;1.5;1;0;2;1;114
Guayaba;Frutales;0.5;7.5;15.0;1;0;2;1;80
Lulo;Frutales;1.0;15.0;15.0;1;0;2;1;223
Mango;Frutales;2.0;8.0;4.0;1;0;2;1;134
Plátano;Frutales;35.0;350.0;10.0;1;0;2;1;392
Zapote;Frutales;0.5;1.0;2.0;1;0;2;1;28
Otros cítricos;Frutales;35.0;286.0;11.0;1;0;2;1;58
Sacha inchi;Oleaginosas;0.5;0.35;0.7;8;0;2;1;31
Maíz;Cereales;28.0;33.6;1.2;5;0;0;0;1624
Tomate;Hortalizas;0.5;10.0;20.0;2;0;0;0;850
Tomate;Hortalizas;0.5;25.0;50.0;2;0;0;0;850
Habichuela;Leguminosas;1.0;5.0;5.0;3;0;0;0;284
Papa;Raíces y Tubérculos;2.0;20.0;10.0;4;0;0;0;1585
Yuca;Raíces y Tubérculos;8.0;80.0;10.0;4;0;0;0;602
Maíz;Cereales;25.0;30.0;1.2;5;0;1;0;1624
Tomate;Hortalizas;0.5;10.0;20.0;2;0;1;0;850
Tomate;Hortalizas;0.5;25.0;50.0;2;0;1;0;850
Habichuela;Leguminosas;1.0;6.0;6.0;3;0;1;0;284
Yuca;Raíces y Tubérculos;10.0;100.0;10.0;4;0;1;0;602
Aguacate;Frutales;6.0;4.5;1.5;1;0;2;1;456
Arazá;Frutales;2.0;1.0;1.0;1;0;2;1;17
Mandarina;Frutales;3.0;2.0;2.0;1;0;2;1;203
Naranja;Frutales;5.0;6.0;3.0;1;0;2;1;292
Plátano;Frutales;65.0;68.0;2.0;1;0;2;1;392
Maíz;Cereales;156.0;232.0;1.51;5;0;0;0;1624
Yuca;Raíces y Tubérculos;139.0;1215.0;9.0;4;0;0;0;602
Maíz;Cereales;148.0;105.0;1.44;5;0;1;0;1624
Yuca;Raíces y Tubérculos;111.0;250.0;5.0;4;0;1;0;602
Aguacate;Frutales;13.0;3.0;1.5;1;0;2;1;456
Chirimoya;Frutales;55.0;138.0;2.51;1;0;2;1;17
Durazno o Albaricoque;Frutales;6.0;8.3;8.3;1;0;2;1;216
Plátano;Frutales;24.0;240.0;10.0;1;0;2;1;392
Otros cítricos;Frutales;45.0;225.0;9.0;1;0;2;1;58
Maíz;Cereales;45.0;55.0;1.22;5;0;0;0;1624
Maíz;Cereales;150.0;380.0;2.53;5;0;0;0;1624
Tabaco;Cultivos Tropicales Tradicionales;20.0;32.0;1.6;6;0;0;0;21
Cebolla De Bulbo;Hortalizas;2.0;25.0;12.5;2;0;0;0;541
Tomate;Hortalizas;25.0;600.0;24.0;2;0;0;0;850
Yuca;Raíces y Tubérculos;5.0;25.0;5.0;4;0;0;0;602
Maíz;Cereales;125.0;250.0;2.0;5;0;1;0;1624
Trigo;Cereales;5.0;5.0;1.0;5;0;1;0;218
Tabaco;Cultivos Tropicales Tradicionales;4.0;5.0;1.25;6;0;1;0;21
Cebolla De Bulbo;Hortalizas;2.0;20.0;10.0;2;0;1;0;541
Tomate;Hortalizas;25.0;600.0;24.0;2;0;1;0;850
Yuca;Raíces y Tubérculos;0.0;0.0;0.0;4;0;1;0;602
Agraz - Mortiño;Frutales;10.0;75.0;15.0;1;0;2;1;32
Curuba;Frutales;4.0;30.0;15.0;1;0;2;1;90
Durazno o Albaricoque;Frutales;4.0;40.0;20.0;1;0;2;1;216
Fresa;Frutales;5.0;25.0;12.5;1;0;2;1;223
Manzana;Frutales;6.0;80.0;13.33;1;0;2;1;61
Mora;Frutales;6.0;30.0;10.0;1;0;2;1;339
Maíz;Cereales;20.0;22.4;2.8;5;0;0;0;1624
Cebolla De Bulbo;Hortalizas;5.0;160.0;32.0;2;0;0;0;541
Papa;Raíces y Tubérculos;20.0;250.0;31.25;4;0;0;0;1585
Papa;Raíces y Tubérculos;10.0;125.0;25.0;4;0;0;0;1585
Maíz;Cereales;28.0;40.0;2.0;5;0;1;0;1624
Cebolla De Bulbo;Hortalizas;10.0;320.0;32.0;2;0;1;0;541
Papa;Raíces y Tubérculos;48.0;850.0;21.25;4;0;1;0;1585
Aguacate;Frutales;106.0;250.0;2.48;1;0;2;1;456
Guanábana;Frutales;33.0;58.0;2.0;1;0;2;1;114
Guayaba;Frutales;3.0;75.0;25.0;1;0;2;1;80
Lulo;Frutales;14.0;56.0;8.0;1;0;2;1;223
Maracuyá;Frutales;1.0;7.0;7.0;1;0;2;1;86
Mora;Frutales;1.0;4.0;4.0;1;0;2;1;339
Papaya;Frutales;5.0;90.0;22.5;1;0;2;1;30
Pitahaya;Frutales;7.0;28.0;9.33;1;0;2;1;55
Plátano;Frutales;70.0;480.0;8.0;1;0;2;1;392
Otros cítricos;Frutales;41.0;220.0;5.5;1;0;2;1;58
Maíz;Cereales;40.0;35.0;1.09;5;0;0;0;1624
Maní;Leguminosas;12.0;5.0;0.56;3;0;0;0;23
Yuca;Raíces y Tubérculos;55.0;440.0;9.17;4;0;0;0;602
Yuca;Raíces y Tubérculos;1.0;12.0;12.0;4;0;0;0;602
Maíz;Cereales;60.0;51.0;1.06;5;0;1;0;1624
Maní;Leguminosas;15.0;7.0;0.58;3;0;1;0;23
Mandarina;Frutales;20.0;180.0;9.0;1;0;2;1;203
Naranja;Frutales;30.0;250.0;10.0;1;0;2;1;292
Plátano;Frutales;51.0;357.0;7.0;1;0;2;1;392
Maíz;Cereales;20.0;27.0;1.5;5;0;0;0;1624
Yuca;Raíces y Tubérculos;60.0;900.0;18.0;4;0;0;0;602
Maíz;Cereales;20.0;27.0;1.5;5;0;1;0;1624
Yuca;Raíces y Tubérculos;60.0;900.0;18.0;4;0;1;0;602
Aguacate;Frutales;4.0;0.0;0.0;1;0;2;1;456
Arazá;Frutales;0.5;0.0;0.0;1;0;2;1;17
Banano;Frutales;13.0;56.0;4.67;1;0;2;1;134
Borojó;Frutales;0.5;0.0;0.0;1;0;2;1;8
Chamba;Frutales;1.0;1.0;1.0;1;0;2;1;14
Guayaba;Frutales;1.0;2.0;2.0;1;0;2;1;80
Limón;Frutales;3.0;0.0;0.0;1;0;2;1;295
Mandarina;Frutales;3.0;2.5;2.5;1;0;2;1;203
Mango;Frutales;2.0;3.0;1.5;1;0;2;1;134
Naranja;Frutales;5.0;0.0;0.0;1;0;2;1;292
Naranja;Frutales;3.0;3.0;3.0;1;0;2;1;292
Papaya;Frutales;3.0;0.0;0.0;1;0;2;1;30
Plátano;Frutales;36.0;125.0;5.0;1;0;2;1;392
Zapote;Frutales;2.0;5.0;5.0;1;0;2;1;28
Maíz;Cereales;30.0;50.75;1.75;5;0;0;0;1624
Yuca;Raíces y Tubérculos;70.0;364.0;5.2;4;0;0;0;602
Maíz;Cereales;20.0;28.0;1.75;5;0;1;0;1624
Ahuyama;Hortalizas;3.0;16.0;8.0;2;0;1;0;224
Guatila;Hortalizas;3.0;6.0;3.0;2;0;1;0;31
Otras hortalizas;Hortalizas;1.0;6.0;6.0;2;0;1;0;288
Arracacha;Raíces y Tubérculos;1.0;3.5;3.5;4;0;1;0;326
Malanga, Achín, Yota, Papa China, Bore;Raíces y Tubérculos;3.0;6.0;3.0;4;0;1;0;29
Yuca;Raíces y Tubérculos;10.0;46.8;5.2;4;0;1;0;602
Arándano;Frutales;4.0;4.0;2.0;1;0;2;1;122
Uchuva;Frutales;10.0;5.0;2.5;1;0;2;1;192
Maíz;Cereales;36.0;36.0;1.0;5;0;0;0;1624
Cebolla De Bulbo;Hortalizas;18.0;324.0;18.0;2;0;0;0;541
Cilantro;Hortalizas;6.0;36.0;6.0;2;0;0;0;129
Lechuga;Hortalizas;3.0;6.0;2.0;2;0;0;0;197
Remolacha;Hortalizas;5.0;65.0;13.0;2;0;0;0;61
Repollo;Hortalizas;6.0;102.0;17.0;2;0;0;0;48
Zanahoria;Hortalizas;7.0;91.0;13.0;2;0;0;0;394
Nabo;Raíces y Tubérculos;4.0;4.0;1.0;4;0;0;0;26
Papa;Raíces y Tubérculos;27.0;405.0;15.0;4;0;0;0;1585
Papa;Raíces y Tubérculos;30.0;420.0;14.0;4;0;0;0;1585
Maíz;Cereales;40.0;40.0;1.0;5;0;1;0;1624
Cebolla De Bulbo;Hortalizas;21.0;378.0;18.0;2;0;1;0;541
Cilantro;Hortalizas;6.0;48.0;8.0;2;0;1;0;129
Lechuga;Hortalizas;4.0;8.0;2.0;2;0;1;0;197
Remolacha;Hortalizas;4.0;52.0;13.0;2;0;1;0;61
Repollo;Hortalizas;7.0;119.0;17.0;2;0;1;0;48
Zanahoria;Hortalizas;8.0;104.0;13.0;2;0;1;0;394
Nabo;Raíces y Tubérculos;3.0;3.0;1.0;4;0;1;0;26
Papa;Raíces y Tubérculos;26.0;390.0;15.0;4;0;1;0;1585
Papa;Raíces y Tubérculos;21.0;294.0;14.0;4;0;1;0;1585
Arándano;Frutales;3.0;22.8;7.6;1;0;2;1;122
Curuba;Frutales;13.0;91.0;7.0;1;0;2;1;90
Durazno o Albaricoque;Frutales;4.0;40.0;10.0;1;0;2;1;216
Uchuva;Frutales;0.0;0.0;0.0;1;0;2;1;192
Maíz;Cereales;20.0;22.5;1.5;5;0;0;0;1624
Tomate;Hortalizas;90.0;8100.0;90.0;2;0;0;0;850
Papa;Raíces y Tubérculos;45.0;675.0;15.0;4;0;0;0;1585
Yuca;Raíces y Tubérculos;12.0;78.0;6.5;4;0;0;0;602
Tomate;Hortalizas;55.0;4950.0;90.0;2;0;1;0;850
Aguacate;Frutales;3.0;30.0;10.0;1;0;2;1;456
Curuba;Frutales;5.0;10.0;2.0;1;0;2;1;90
Guayaba;Frutales;10.0;75.0;7.5;1;0;2;1;80
Limón;Frutales;6.0;18.0;3.0;1;0;2;1;295
Lulo;Frutales;11.0;33.0;3.0;1;0;2;1;223
Mandarina;Frutales;1.0;7.0;7.0;1;0;2;1;203
Naranja;Frutales;5.0;26.0;5.2;1;0;2;1;292
Plátano;Frutales;8.0;24.0;3.0;1;0;2;1;392
Cebada;Cereales;5.0;4.0;0.8;5;0;0;0;186
Maíz;Cereales;31.0;19.22;0.62;5;0;0;0;1624
Trigo;Cereales;23.0;14.0;1.0;5;0;0;0;218
Ahuyama;Hortalizas;3.0;24.0;8.0;2;0;0;0;224
Melón;Hortalizas;1.0;10.0;10.0;2;0;0;0;32
Tomate;Hortalizas;7.0;210.0;30.0;2;0;0;0;850
Papa;Raíces y Tubérculos;83.0;1494.0;18.0;4;0;0;0;1585
Yuca;Raíces y Tubérculos;5.0;24.0;8.0;4;0;0;0;602
Cebada;Cereales;6.0;3.0;0.5;5;0;1;0;186
Maíz;Cereales;33.0;17.0;0.52;5;0;1;0;1624
Trigo;Cereales;23.0;14.0;0.61;5;0;1;0;218
Ahuyama;Hortalizas;3.0;27.0;9.0;2;0;1;0;224
Melón;Hortalizas;2.0;20.0;10.0;2;0;1;0;32
Tomate;Hortalizas;7.0;197.0;28.14;2;0;1;0;850
Yuca;Raíces y Tubérculos;5.0;24.0;8.0;4;0;1;0;602
Lulo;Frutales;2.0;0.0;0.0;1;0;2;1;223
Cebada;Cereales;1.0;1.0;1.0;5;0;0;0;186
Maíz;Cereales;15.0;13.0;1.0;5;0;0;0;1624
Trigo;Cereales;1.0;2.0;2.0;5;0;0;0;218
Papa;Raíces y Tubérculos;12.0;110.0;10.0;4;0;0;0;1585
Trigo;Cereales;2.0;4.0;2.0;5;0;1;0;218
Papa;Raíces y Tubérculos;4.0;40.0;10.0;4;0;1;0;1585
Curuba;Frutales;2.0;29.0;14.5;1;0;2;1;90
Feijoa;Frutales;2.0;20.0;10.0;1;0;2;1;117
Fresa;Frutales;3.0;48.0;24.0;1;0;2;1;223
Avena;Cereales;300.0;600.0;2.0;5;0;0;0;88
Cebada;Cereales;30.0;75.0;2.5;5;0;0;0;186
Maíz;Cereales;300.0;240.0;0.8;5;0;0;0;1624
Quinua;Cereales;60.0;120.0;2.0;5;0;0;0;66
Cebolla De Bulbo;Hortalizas;300.0;6000.0;20.0;2;0;0;0;541
Zanahoria;Hortalizas;5.0;125.0;25.0;2;0;0;0;394
Otras hortalizas;Hortalizas;5.0;75.0;15.0;2;0;0;0;288
Arracacha;Raíces y Tubérculos;6.0;60.0;10.0;4;0;0;0;326
Papa;Raíces y Tubérculos;3500.0;63000.0;18.0;4;0;0;0;1585
Papa;Raíces y Tubérculos;50.0;600.0;12.0;4;0;0;0;1585
Avena;Cereales;300.0;600.0;2.0;5;0;1;0;88
Cebada;Cereales;30.0;75.0;2.5;5;0;1;0;186
Maíz;Cereales;300.0;240.0;0.8;5;0;1;0;1624
Quinua;Cereales;60.0;120.0;2.0;5;0;1;0;66
Cebolla De Bulbo;Hortalizas;300.0;6000.0;20.0;2;0;1;0;541
Zanahoria;Hortalizas;5.0;125.0;25.0;2;0;1;0;394
Otras hortalizas;Hortalizas;5.0;75.0;15.0;2;0;1;0;288
Arracacha;Raíces y Tubérculos;6.0;60.0;10.0;4;0;1;0;326
Papa;Raíces y Tubérculos;3500.0;63000.0;18.0;4;0;1;0;1585
Papa;Raíces y Tubérculos;50.0;600.0;12.0;4;0;1;0;1585
Aguacate;Frutales;9.0;30.0;5.0;1;0;2;1;456
Dátil;Frutales;9.0;35.0;7.0;1;0;2;1;6
Durazno o Albaricoque;Frutales;25.0;300.0;15.0;1;0;2;1;216
Fresa;Frutales;3.0;15.0;5.0;1;0;2;1;223
Granadilla;Frutales;10.0;0.0;0.0;1;0;2;1;131
Limón;Frutales;11.0;40.0;6.67;1;0;2;1;295
Lulo;Frutales;5.0;0.0;0.0;1;0;2;1;223
Mandarina;Frutales;18.0;300.0;30.0;1;0;2;1;203
Mango;Frutales;20.0;160.0;8.0;1;0;2;1;134
Maracuyá;Frutales;5.0;0.0;0.0;1;0;2;1;86
Mora;Frutales;8.0;20.0;5.0;1;0;2;1;339
Naranja;Frutales;10.0;300.0;30.0;1;0;2;1;292
Papaya;Frutales;8.0;0.0;0.0;1;0;2;1;30
Plátano;Frutales;20.0;65.0;5.0;1;0;2;1;392
Tomate de árbol;Frutales;5.0;0.0;0.0;1;0;2;1;324
Zapote;Frutales;5.0;25.0;5.0;1;0;2;1;28
Cebada;Cereales;2.0;1.6;0.8;5;0;0;0;186
Maíz;Cereales;100.0;39.85;0.42;5;0;0;0;1624
Trigo;Cereales;20.0;21.6;1.2;5;0;0;0;218
Tabaco;Cultivos Tropicales Tradicionales;15.0;15.0;1.0;6;0;0;0;21
Cebolla De Bulbo;Hortalizas;10.0;171.0;19.0;2;0;0;0;541
Tomate;Hortalizas;18.0;288.0;18.0;2;0;0;0;850
Papa;Raíces y Tubérculos;12.0;100.0;10.0;4;0;0;0;1585
Yuca;Raíces y Tubérculos;20.0;140.0;7.0;4;0;0;0;602
Maíz;Cereales;60.0;120.0;2.0;5;0;1;0;1624
Trigo;Cereales;20.0;40.0;2.0;5;0;1;0;218
Cebolla De Bulbo;Hortalizas;15.0;225.0;15.0;2;0;1;0;541
Tomate;Hortalizas;20.0;200.0;10.0;2;0;1;0;850
Aguacate;Frutales;10.0;10.0;1.0;1;0;2;1;456
Guayaba;Frutales;4.0;12.0;3.0;1;0;2;1;80
Maíz;Cereales;120.0;120.0;1.0;5;0;0;0;1624
Trigo;Cereales;190.0;425.5;2.3;5;0;0;0;218
Cebolla De Bulbo;Hortalizas;35.0;735.0;22.97;2;0;0;0;541
Papa;Raíces y Tubérculos;280.0;5400.0;20.0;4;0;0;0;1585
Papa;Raíces y Tubérculos;9.0;97.12;12.14;4;0;0;0;1585
Trigo;Cereales;135.0;303.6;2.3;5;0;1;0;218
Cebolla De Bulbo;Hortalizas;35.0;735.0;21.0;2;0;1;0;541
Papa;Raíces y Tubérculos;260.0;5200.0;20.0;4;0;1;0;1585
Papa;Raíces y Tubérculos;8.0;84.98;12.14;4;0;1;0;1585
Maíz;Cereales;30.0;28.2;0.94;5;0;0;0;1624
Cebolla De Bulbo;Hortalizas;10.0;185.0;18.5;2;0;0;0;541
Tomate;Hortalizas;4.0;75.0;18.75;2;0;0;0;850
Papa;Raíces y Tubérculos;40.0;425.0;10.62;4;0;0;0;1585
Maíz;Cereales;35.0;32.0;0.91;5;0;1;0;1624
Cebolla De Bulbo;Hortalizas;13.0;175.0;13.46;2;0;1;0;541
Tomate;Hortalizas;5.0;85.0;17.0;2;0;1;0;850
Papa;Raíces y Tubérculos;42.0;450.0;10.71;4;0;1;0;1585
Plantas Aromáticas;Condimentos Bebidas y Aromáticas;1.0;1.0;1.0;7;0;2;0;63
Laurel;Condimentos Bebidas y Aromáticas;5.0;20.0;5.0;7;0;2;1;8
Sábila;Condimentos Bebidas y Aromáticas;0.5;5.0;10.0;7;0;2;1;54
Curuba;Frutales;1.0;5.0;5.0;1;0;2;1;90
Durazno o Albaricoque;Frutales;2.0;8.0;4.0;1;0;2;1;216
Feijoa;Frutales;4.0;16.0;4.0;1;0;2;1;117
Fresa;Frutales;6.0;30.0;5.0;1;0;2;1;223
Mora;Frutales;1.0;1.0;1.0;1;0;2;1;339
Tomate de árbol;Frutales;1.0;3.0;3.0;1;0;2;1;324
Uchuva;Frutales;1.0;3.0;3.0;1;0;2;1;192
Maíz;Cereales;50.0;54.0;1.2;5;0;0;0;1624
Quinua;Cereales;0.0;0.0;0.0;5;0;0;0;66
Plantas Aromáticas;Condimentos Bebidas y Aromáticas;2.0;1.5;1.0;7;0;0;0;63
Cebolla De Bulbo;Hortalizas;28.0;625.0;25.0;2;0;0;0;541
Cebolla De Rama;Hortalizas;30.0;675.0;27.0;2;0;0;0;75
Lechuga;Hortalizas;5.0;80.0;16.0;2;0;0;0;197
Otras hortalizas;Hortalizas;7.0;30.0;5.0;2;0;0;0;288
Nabo;Raíces y Tubérculos;0.0;0.0;0.0;4;0;0;0;26
Papa;Raíces y Tubérculos;240.0;4800.0;20.0;4;0;0;0;1585
Papa;Raíces y Tubérculos;8.0;70.0;10.0;4;0;0;0;1585
Maíz;Cereales;0.0;0.0;0.0;5;0;1;0;1624
Plantas Aromáticas;Condimentos Bebidas y Aromáticas;1.0;1.0;1.0;7;0;1;0;63
Cebolla De Bulbo;Hortalizas;20.0;450.0;25.0;2;0;1;0;541
Cebolla De Rama;Hortalizas;20.0;500.0;25.0;2;0;1;0;75
Lechuga;Hortalizas;6.0;90.0;15.0;2;0;1;0;197
Tomate;Hortalizas;4.0;200.0;50.0;2;0;1;0;850
Otras hortalizas;Hortalizas;6.0;25.0;5.0;2;0;1;0;288
Nabo;Raíces y Tubérculos;0.0;0.0;0.0;4;0;1;0;26
Papa;Raíces y Tubérculos;240.0;4320.0;18.0;4;0;1;0;1585
Papa;Raíces y Tubérculos;6.0;60.0;10.0;4;0;1;0;1585
Banano;Frutales;8.0;16.0;4.0;1;0;2;1;134
Maíz;Cereales;70.0;78.0;1.2;5;0;0;0;1624
Tomate;Hortalizas;1.0;27.0;27.0;2;0;0;0;850
Papa;Raíces y Tubérculos;10.0;120.0;12.0;4;0;0;0;1585
